method_name,line_number,file_name,to_static,reasoning
NavigationTest,38,Files-4.0.24/tests/Files.InteractionTests/Tests/FolderTests.cs,True,Direct Analysis
CreateFolderTest,51,Files-4.0.24/tests/Files.InteractionTests/Tests/FolderTests.cs,True,Direct Analysis
RenameFolderTest,86,Files-4.0.24/tests/Files.InteractionTests/Tests/FolderTests.cs,True,Direct Analysis
CopyPasteFolderTest,106,Files-4.0.24/tests/Files.InteractionTests/Tests/FolderTests.cs,True,Direct Analysis
DeleteFolderTest,124,Files-4.0.24/tests/Files.InteractionTests/Tests/FolderTests.cs,True,Direct Analysis
IsTagQuery,187,Files-4.0.24/src/Files.App/Utils/Storage/Search/FolderSearch.cs,True,Direct Analysis
MatchesTagExpression,233,Files-4.0.24/src/Files.App/Utils/Storage/Search/FolderSearch.cs,True,Direct Analysis
GetSettingsService,100,Files-4.0.24/src/Files.App/Services/Settings/UserSettingsService.cs,True,Direct Analysis
DetectTrackSelectionSetting,69,Files-4.0.24/src/Files.App/Services/PreviewPopupProviders/SeerProProvider.cs,True,Direct Analysis
DoPreviewAsync,24,Files-4.0.24/src/Files.App/Services/PreviewPopupProviders/PowerToysPeekProvider.cs,True,Direct Analysis
UntagAllFiles,166,Files-4.0.24/src/Files.App/Services/Settings/FileTagsSettingsService.cs,True,Direct Analysis
GetChangedActionEventArgs,298,Files-4.0.24/src/Files.App/Services/Windows/WindowsRecentItemsService.cs,True,Direct Analysis
LoadIconForLocationItemAsync,119,Files-4.0.24/src/Files.App/Data/Models/PinnedFoldersManager.cs,True,Direct Analysis
LoadDefaultIconForLocationItemAsync,141,Files-4.0.24/src/Files.App/Data/Models/PinnedFoldersManager.cs,True,Direct Analysis
AddFolder,128,Files-4.0.24/src/Files.App/Services/Windows/WindowsJumpListService.cs,True,Direct Analysis
ResetAll,73,Files-4.0.24/src/Files.App/Helpers/Layout/LayoutPreferencesDatabase.cs,True,Direct Analysis
Import,78,Files-4.0.24/src/Files.App/Helpers/Layout/LayoutPreferencesDatabase.cs,True,Direct Analysis
FindPreferences,138,Files-4.0.24/src/Files.App/Helpers/Layout/LayoutPreferencesDatabase.cs,True,Direct Analysis
Delay,24,Files-4.0.24/src/Files.Shared/Helpers/AsyncManualResetEvent.cs,True,Direct Analysis
GetPreferences,15,Files-4.0.24/src/Files.App/Helpers/Layout/LayoutPreferencesDatabaseManager.cs,True,Direct Analysis
SetPreferences,20,Files-4.0.24/src/Files.App/Helpers/Layout/LayoutPreferencesDatabaseManager.cs,True,Direct Analysis
ResetAll,25,Files-4.0.24/src/Files.App/Helpers/Layout/LayoutPreferencesDatabaseManager.cs,True,Direct Analysis
Import,30,Files-4.0.24/src/Files.App/Helpers/Layout/LayoutPreferencesDatabaseManager.cs,True,Direct Analysis
Export,35,Files-4.0.24/src/Files.App/Helpers/Layout/LayoutPreferencesDatabaseManager.cs,True,Direct Analysis
IsCorrectColumn,886,Files-4.0.24/src/Files.App/Views/Layouts/DetailsLayoutPage.xaml.cs,True,Cascading + LLM (No Internal Calls)
SetToolTip,1064,Files-4.0.24/src/Files.App/Views/Layouts/DetailsLayoutPage.xaml.cs,True,Cascading + LLM (No Internal Calls)
ResetLayoutPreferences,283,Files-4.0.24/src/Files.App/ViewModels/Settings/LayoutViewModel.cs,True,Cascading + LLM (No Internal Calls)
CalculateFileHashAsync,171,Files-4.0.24/src/Files.App/ViewModels/Properties/HashesViewModel.cs,True,Cascading + LLM (No Internal Calls)
ExecuteFormatDriveCommand,201,Files-4.0.24/src/Files.App/ViewModels/UserControls/Widgets/NetworkLocationsWidgetViewModel.cs,True,Cascading + LLM (No Internal Calls)
IsValidAbsolutePath,226,Files-4.0.24/src/Files.App/ViewModels/Dialogs/CreateShortcutDialogViewModel.cs,True,Cascading + LLM (No Internal Calls)
OnDocumentationClicked,282,Files-4.0.24/src/Files.App/Utils/Taskbar/SystemTrayIcon.cs,True,Cascading + LLM (No Internal Calls)
OnRestartClicked,287,Files-4.0.24/src/Files.App/Utils/Taskbar/SystemTrayIcon.cs,True,Cascading + LLM (No Internal Calls)
CheckIsRecentItemsEnabled,242,Files-4.0.24/src/Files.App/ViewModels/UserControls/Widgets/RecentFilesWidgetViewModel.cs,True,Cascading + LLM (No Internal Calls)
RetrieveBladeColumnViewBase,357,Files-4.0.24/src/Files.App/Views/Layouts/ColumnsLayoutPage.xaml.cs,True,Cascading + LLM (No Internal Calls)
OnItemTypeChanged,22,Files-4.0.24/src/Files.App/UserControls/KeyboardShortcut/KeyboardShortcutItem.cs,True,Cascading + LLM (No Internal Calls)
OnTextChanged,42,Files-4.0.24/src/Files.App/UserControls/KeyboardShortcut/KeyboardShortcutItem.cs,True,Cascading + LLM (No Internal Calls)
